sbti_id;company_name
40003459;Bertelsmann SE & Co. KGaA
40003693;Beryl
40002277;Berylls Group GmbH
40013943;BES Engineering Corporation
40001864;BES Group (British Engineering Services Ltd)
40002585;Best Buy Co., Inc.
40005310;BESTSELLER A/S
40004029;Bestudy (Shanghai) Medical Technology Co., Ltd.
40011458;Betsson AB
40008222;Betterect (Pty) Ltd
40008702;Betterfly
40004824;Betz Holding GmbH
40013631;Beurer GmbH
40015081;BGH Edelstahlwerke GmbH
40006686;BGIS
40015733;Bharat Forge Limited
40001306;Bharti Airtel Limited
40013326;BHC Ltd
40003181;BHG Group
40006509;BHJ
40015799;BI NEWVISION
40012156;Bunge Limited
40005165;Bibby Marine Limited
40005845;BIC Consolidated
40006814;Bidfood
40003127;BIF Co.,Ltd.
40001465;Biffa Limited
40007785;Big Yellow Group PLC
40008039;Bilecik Demir Çelik
40014607;Bio Pappel S.A. de C.V.
40009320;bio-familia
40001222;Biofuel Express
40000297;BioGaia AB
40008014;Biogen Inc.
40014435;BIOIBERICA SAU
40004517;BioMar Group
40012992;bioMerieux
40005335;BioNTech SE
40012139;Bioregional Development Group
40014631;BIPROGY Inc.
40007443;Bird & Bird LLP
40016109;BİRİKİM MÜHENDİSLİK VE ENDÜSTRİYEL YÜKLENİM LTD ŞTİ
40001634;BITĖ Group
40014630;BizLink Holding
40011497;BJSS
40001146;BKI foods a/s
40012791;BKUK Group Ltd
40002982;BLB CORPORATION
40003873;Blentagruppen AB
40004698;BLG LOGISTICS GROUP AG & Co. KG
40007919;Block, Inc.
40005966;Bloom & Wild group
40004938;Bloomberg LP
40014594;Bloomsbury Publishing Plc.
40011218;Blue Apron LLC
40009248;Blue Sky Botanics
40013905;Bluebird.inc
40005657;BMC Software Incorporated
40007350;BMT
40013882;BMW Group
40013117;BNG Bank
40007398;BNK Financial Group
40010213;BNP Paribas
40004748;BNSF Railway
40003729;BOBST GROUP SA
40009595;Bocar Group
40012391;Bodenmann Metzgerei AG
40005993;BoConcept A/S
40010035;Bodycote plc
40015942;Boehringer Ingelheim
40003512;Boemos SpA Industria Calzature
40016052;Boliden AB (publ)
40001821;Bollé Brands
40013176;Bolloré Logistics
40011310;Bolsa Mexicana de Valores
40015643;Boma Global
40001050;Bonava AB
40005183;Bonduelle Group
40008044;Bonnier Books
40009352;Bonnier News
40008284;Bontaz Group
40002192;Debenhams Group
40003698;Booking Holdings Inc.
40004621;Boom Supersonic
40010306;Boortmalt NV
40014207;Booz Allen Hamilton Holding Corporation
40010009;Boozt
40013349;Boral Limited
40003155;BORALEX Inc.
40005480;Borchers Transportlogistik NordWest GmbH
40010836;BorgWarner Inc.
40002566;Borregaard AS
40014998;Bose
40011947;Boston Consulting Group
40013023;BXP
40016069;Boston Scientific Corporation
40003829;Boujyokenkyusyo Co.,Ltd.
40002446;Bourne Group
40012350;Bourns, Inc.
40001272;BOUYGUES CONSTRUCTION
40005841;Bouygues Immobilier
40006277;BOUYGUES TELECOM
40000483;Boyd (Shenzhen) Thermal Systems Ltd
40003850;Boyd Plastic and Metal Parts (Shenzhen) Co. Ltd
40001231;Boyd Vietnam Company Ltd
40009974;BPR Group
40003270;Braathens Regional Airlines (BRA) AB
40000150;Brambles
40009492;Bramming Plast-Industri A/S
40002726;Brandix Lanka Private Limited
40015178;Branston Ltd
40004370;Bravida Holding AB
40011064;Brødrene Hartmann A/S
40000694;BREEDON GROUP plc
40006213;Bregal Investments
40013492;Breitling
40012018;Brenntag SE
40006566;BRF S.A.
40012339;Bridge Farm
40011893;Bridgestone Corporation
40006361;Bright Blue Foods (BBF) Ltd
40012312;BrightWolves
40000416;Brillio LLC
40003700;Brisa - Auto-estradas de Portugal,SA
40004148;BRISA BRIDGESTONE SABANCI TYRE MANUFACTURING AND TRADING INC.
40013879;Bristlecone Inc
40001526;Bristol Myers Squibb
40010370;British American Tobacco (BAT)
40011491;British Broadcasting Corporation (BBC)
40003869;British Steel Limited
40001507;BRITVIC PLC
40004294;Brixmor Property Group
40002661;Broadridge Financial Solutions, Inc.
40005256;Brompton Bicycle Limited
40002173;Brooks Running
40015163;Brother Industries, Ltd.
40001361;Brown Knight & Truscott Limited
40003540;Brown Thomas Arnotts
40001211;Browns Food Group
40010123;Brundtland Consulting
40003076;Brunello Cucinelli SpA
40001406;Brunswick Group
40015012;Bruun & Hjejle Advokatpartnerselskab
40011669;Bruynzeel Storage Group BV
40008045;Bryt Energy
40004175;BSL CASTINGS PVT LTD.
40011706;BSP Pharmaceuticals spa
40017584;BT Group
40000533;BTS Group AB (publ)
40001260;Buckingham Group Contracting Ltd
40006385;Buckley Gray Yeoman
40013177;Bufab AB
40001349;Bugaboo International
40006116;BuildingLink.com LLC
40000130;Bulten AB
40009213;Bundaberg Sugar LTD
40005466;Bunka Shutter Co., Ltd.
40015057;bunq B.V.
40002523;Bunzl plc
40002404;Bupa
40012137;Burberry Limited
40006227;Burg Groep B.V.
40012851;Burges Salmon LLP
40004194;Burgo Group S.p.A.
40003149;Buro Happold
40004453;Bursa Malaysia Berhad
40008585;Business Integration Partners SpA
40002907;Buzzi SpA
40011084;BWI Group
40005749;Byggmax Group AB
40009638;C.T. POINT S.P.A.
40012098;C.V.O. International
40012245;C&A
40009426;C&C Group plc
40000494;Cabify
40008419;Liberty Costa Rica
40014970;Cabonline Group Holding AB
40014559;Cadence Design Systems
40004211;CAF Group
40015001;Café Bar Sverige AB
40011354;CAGLA, Inc.
40007498;Cairn Homes Plc
40013132;Caixa Geral de Depósitos
40000185;Califia Farms
40012629;Caljan A/S
40007891;Perceptive Inc.
40015166;Cambridge Healthcare Research
40014201;Camlin Limited
40001511;Campbell Soup Company
40010253;Camper S.L.
40006058;CAMUSAT HOLDING
40004364;Canada Goose
40006960;Canada Post | Postes Canada
40004693;Canadian National Railway Company
40003375;DBA Canary Marketing
40003743;Canary Wharf Group Plc
40002916;Cancer Research Technology Ltd.
40006747;Cancer Research UK Trading Limited
40009502;Canfor
40003719;CANGZHOU YONGXING FOUNDRY CO.,LTD
40011338;CANON INC.
40015043;CANPACK Group
40008640;Canyon Bicycles GmbH
40009979;CAP HOLDING SpA
40004966;Capella Hotel Group Pte. Ltd.
40015834;Capgemini SE
40009709;Capita Plc
40003336;Capital & Counties Properties PLC
40007226;CapitaLand
40006891;Capitas Finance Limited
40012807;CapMan Plc
40004641;Cappelen Damm Holding AS
40007917;Capri Holdings Limited
40011881;Capricórnio Têxtil
40009887;CAPSUM
40007388;Carbon Free Consulting Corporation
40014063;Carbon Free Network, Inc.
40006581;Carbon Intelligence
40011325;Carbon+Alt+Delete
40013406;Carbonbit Ltd
40000125;Cardinal Health, Inc.
40003784;Cardo Systems Ltd.
40006771;Cargill, Inc.
40010451;Cargojet Airways Ltd.
40013861;Hiab
40010312;Carib Glassworks Limited
40007520;Carlisle Companies Incorporated
40000306;Carlsberg Group
40007593;CARMILA
